series_name,#,Episode,UserRating,UserVotes,series_ep,link,r1,r10,r2,r3,r4,r5,r6,r7,r8,r9,season,season_ep
Mad Love,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Madam Secretary,1.1,Pilot,7.4,499,1,/title/tt3836678/,0.064,0.212,0.014,0.01,0.012,0.026,0.086,0.198,0.262,0.116,1,1
Madam Secretary,1.2,Another Benghazi,7.5,377,2,/title/tt3874512/,0.07671957671957672,0.23015873015873015,0.007936507936507936,0.007936507936507936,0.010582010582010581,0.015873015873015872,0.06084656084656084,0.20634920634920634,0.25925925925925924,0.12433862433862433,1,2
Madam Secretary,1.3,The Operative,7.4,338,3,/title/tt3893564/,0.09003215434083602,0.2347266881028939,0.006430868167202572,0.022508038585209004,0.006430868167202572,0.012861736334405145,0.08360128617363344,0.20257234726688103,0.22508038585209003,0.1157556270096463,1,3
Madam Secretary,1.4,Just Another Normal Day,7.4,310,4,/title/tt3911066/,0.09144542772861357,0.2448377581120944,0.017699115044247787,0.0058997050147492625,0.011799410029498525,0.011799410029498525,0.061946902654867256,0.1887905604719764,0.24778761061946902,0.11799410029498525,1,4
Madam Secretary,1.5,Blame Canada,7.5,301,5,/title/tt3996402/,0.08934707903780069,0.23367697594501718,0.010309278350515464,0.020618556701030927,0.01718213058419244,0.030927835051546393,0.08247422680412371,0.21305841924398625,0.21305841924398625,0.08934707903780069,1,5
Madam Secretary,1.6,The Call,7.2,290,6,/title/tt3996514/,0.09278350515463918,0.2542955326460481,0.003436426116838488,0.010309278350515464,0.013745704467353952,0.020618556701030927,0.058419243986254296,0.18900343642611683,0.2508591065292096,0.10652920962199312,1,6
Madam Secretary,1.7,Passage,7.5,290,7,/title/tt4020036/,0.09157509157509157,0.2454212454212454,0.007326007326007326,0.01098901098901099,0.014652014652014652,0.01098901098901099,0.07326007326007326,0.1684981684981685,0.2490842490842491,0.1282051282051282,1,7
Madam Secretary,1.8,Need to Know,7.5,272,8,/title/tt4113040/,0.09933774834437085,0.25165562913907286,0.006622516556291391,0.013245033112582781,0.009933774834437087,0.019867549668874173,0.06622516556291391,0.1291390728476821,0.2682119205298013,0.1357615894039735,1,8
Madam Secretary,1.9,So It Goes,7.8,305,9,/title/tt4136098/,0.08823529411764706,0.2536764705882353,0.003676470588235294,0.014705882352941176,0.003676470588235294,0.014705882352941176,0.0625,0.14705882352941177,0.2867647058823529,0.125,1,9
Madam Secretary,1.1,Collateral Damage,7.6,271,10,/title/tt4188274/,0.09477124183006536,0.3464052287581699,0.013071895424836602,0.016339869281045753,0.006535947712418301,0.0032679738562091504,0.029411764705882353,0.10784313725490197,0.21568627450980393,0.16666666666666666,1,10
Madam Secretary,1.11,Game On,7.6,274,11,/title/tt4225266/,0.09090909090909091,0.26181818181818184,0.0036363636363636364,0.014545454545454545,0.014545454545454545,0.014545454545454545,0.05090909090909091,0.12,0.3090909090909091,0.12,1,11
Madam Secretary,1.12,Standoff,7.3,250,12,/title/tt4288644/,0.09163346613545817,0.22310756972111553,0.01195219123505976,0.01195219123505976,0.01195219123505976,0.03187250996015936,0.08366533864541832,0.2151394422310757,0.23904382470119523,0.0796812749003984,1,12
Madam Secretary,1.13,Chains of Command,7.6,248,13,/title/tt4289316/,0.09663865546218488,0.25630252100840334,0.012605042016806723,0.01680672268907563,0.008403361344537815,0.012605042016806723,0.05042016806722689,0.13025210084033614,0.2815126050420168,0.13445378151260504,1,13
Madam Secretary,1.14,Whisper of the Ax,7.8,226,14,/title/tt4312132/,0.0963855421686747,0.24096385542168675,0.008032128514056224,0.01606425702811245,0.012048192771084338,0.024096385542168676,0.040160642570281124,0.14056224899598393,0.285140562248996,0.13654618473895583,1,14
Madam Secretary,1.15,The Ninth Circle,7.6,237,15,/title/tt4346194/,0.0881057268722467,0.2687224669603524,0.00881057268722467,0.004405286343612335,0.004405286343612335,0.02643171806167401,0.02643171806167401,0.13656387665198239,0.31718061674008813,0.11894273127753303,1,15
Madam Secretary,1.16,Tamerlane,8.2,284,16,/title/tt4396898/,0.08163265306122448,0.3183673469387755,0.012244897959183673,0.012244897959183673,0.012244897959183673,0.024489795918367346,0.036734693877551024,0.1510204081632653,0.2163265306122449,0.1346938775510204,1,16
Madam Secretary,1.17,Face the Nation,7.7,244,17,/title/tt4417118/,0.06153846153846154,0.3423076923076923,0.015384615384615385,0.015384615384615385,0.007692307692307693,0.011538461538461539,0.026923076923076925,0.09615384615384616,0.2153846153846154,0.2076923076923077,1,17
Madam Secretary,1.18,The Time Is at Hand,7.5,223,18,/title/tt4419086/,0.08391608391608392,0.4195804195804196,0.0034965034965034965,0.01048951048951049,0.006993006993006993,0.006993006993006993,0.013986013986013986,0.06993006993006994,0.17482517482517482,0.2097902097902098,1,18
Madam Secretary,1.19,Spartan Figures,7.3,225,19,/title/tt4454686/,0.08482142857142858,0.26339285714285715,0.008928571428571428,0.013392857142857142,0.013392857142857142,0.026785714285714284,0.04017857142857143,0.19196428571428573,0.27232142857142855,0.08482142857142858,1,19
Madam Secretary,1.2,The Necessary Art,7.4,218,20,/title/tt4472408/,0.10176991150442478,0.22566371681415928,0.008849557522123894,0.022123893805309734,0.022123893805309734,0.035398230088495575,0.0752212389380531,0.22566371681415928,0.19911504424778761,0.084070796460177,1,20
