series_name,Episode,UserRating,UserVotes,series_ep,link,r1,r10,r2,r3,r4,r5,r6,r7,r8,r9,season,season_ep,NA.
Justified,Fire in the Hole,8.5,"1,404",1,/title/tt1522554/,0.004267425320056899,0.2759601706970128,0.0021337126600284497,0.0021337126600284497,0.006401137980085348,0.012802275960170697,0.034139402560455195,0.11095305832147938,0.2759601706970128,0.27524893314367,1,1,NA
Justified,Riverbrook,7.9,"1,038",2,/title/tt1540598/,0.0045351473922902496,0.21768707482993196,0.003401360544217687,0.003401360544217687,0.003401360544217687,0.018140589569160998,0.06349206349206349,0.2199546485260771,0.3673469387755102,0.09863945578231292,1,2,NA
Justified,Fixer,7.8,962,3,/title/tt1566258/,0.003157894736842105,0.2094736842105263,0.002105263157894737,0.0010526315789473684,0.00631578947368421,0.01368421052631579,0.045263157894736845,0.1694736842105263,0.3547368421052632,0.19473684210526315,1,3,NA
Justified,Long in the Tooth,8.2,948,4,/title/tt1582924/,0.004016064257028112,0.2757697456492637,0.0013386880856760374,0,0,0.013386880856760375,0.038821954484605084,0.08433734939759036,0.26907630522088355,0.3132530120481928,1,4,NA
Justified,The Lord of War and Thunder,8,881,5,/title/tt1588042/,0.004662004662004662,0.2191142191142191,0.004662004662004662,0.0011655011655011655,0.004662004662004662,0.019813519813519812,0.05827505827505827,0.21328671328671328,0.351981351981352,0.12237762237762238,1,5,NA
Justified,The Collection,8.1,857,6,/title/tt1588574/,0.0036855036855036856,0.23832923832923833,0.002457002457002457,0,0.002457002457002457,0.0171990171990172,0.03562653562653563,0.14864864864864866,0.35626535626535627,0.19533169533169534,1,6,NA
Justified,Blind Spot,8.4,813,7,/title/tt1594360/,0.005154639175257732,0.22293814432989692,0.002577319587628866,0,0.001288659793814433,0.01288659793814433,0.05670103092783505,0.19201030927835053,0.3492268041237113,0.15721649484536082,1,7,NA
Justified,Blowback,8.5,812,8,/title/tt1594763/,0.007268951194184839,0.181723779854621,0.0020768431983385254,0.003115264797507788,0.012461059190031152,0.02596053997923157,0.0893042575285566,0.29387331256490135,0.2980269989615784,0.08618899273104881,1,8,NA
Justified,Hatless,8.6,807,9,/title/tt1599645/,0.006720430107526882,0.22983870967741934,0.002688172043010753,0.0013440860215053765,0.002688172043010753,0.016129032258064516,0.051075268817204304,0.16801075268817203,0.385752688172043,0.135752688172043,1,9,NA
Justified,The Hammer,8.2,775,10,/title/tt1603625/,0.0037128712871287127,0.2722772277227723,0.0024752475247524753,0,0,0.01485148514851485,0.03589108910891089,0.10148514851485149,0.2871287128712871,0.28217821782178215,1,10,NA
Justified,Veterans,8.2,743,11,/title/tt1616292/,0.0028846153846153848,0.18173076923076922,0.0038461538461538464,0.0038461538461538464,0.006730769230769231,0.016346153846153847,0.07115384615384615,0.26153846153846155,0.3548076923076923,0.09711538461538462,1,11,NA
Justified,Fathers and Sons,8.7,746,12,/title/tt1629832/,0.0036900369003690036,0.2607626076260763,0.0012300123001230013,0,0,0.007380073800738007,0.03936039360393604,0.11931119311193111,0.3198031980319803,0.24846248462484624,1,12,NA
Justified,Bulletville,9.3,983,13,/title/tt1644780/,0.008130081300813009,0.5345528455284553,0.0010162601626016261,0,0.0010162601626016261,0.0040650406504065045,0.014227642276422764,0.028455284552845527,0.11483739837398374,0.2936991869918699,1,13,NA
Justified,The Moonshine War,8.7,788,14,/title/tt1649567/,0.0025348542458808617,0.30164765525982257,0.0025348542458808617,0,0.0012674271229404308,0.010139416983523447,0.025348542458808618,0.08491761723700887,0.28517110266159695,0.2864385297845374,2,1,NA
Justified,The Life Inside,8.2,698,15,/title/tt1649568/,0.004846526655896607,0.2681744749596123,0.0032310177705977385,0.0032310177705977385,0.0016155088852988692,0.004846526655896607,0.0420032310177706,0.10662358642972536,0.3505654281098546,0.2148626817447496,2,2,NA
Justified,The I of the Storm,8.5,684,16,/title/tt1649569/,0.004724409448818898,0.31968503937007875,0.0031496062992125984,0,0.004724409448818898,0.004724409448818898,0.026771653543307086,0.06141732283464567,0.2566929133858268,0.31811023622047246,2,3,NA
Justified,For Blood or Money,8.1,665,17,/title/tt1649570/,0.007331378299120235,0.41935483870967744,0.002932551319648094,0,0.001466275659824047,0.001466275659824047,0.024926686217008796,0.03812316715542522,0.16862170087976538,0.3357771260997067,2,4,NA
Justified,Cottonmouth,8.7,679,18,/title/tt1649571/,0.008908685968819599,0.5924276169265034,0.0033407572383073497,0,0.0022271714922048997,0.0033407572383073497,0.008908685968819599,0.026726057906458798,0.09799554565701558,0.2561247216035635,2,5,NA
Justified,Blaze of Glory,8.3,662,19,/title/tt1649572/,0.002861230329041488,0.23462088698140202,0.004291845493562232,0,0.005722460658082976,0.011444921316165951,0.060085836909871244,0.19456366237482117,0.35765379113018597,0.12875536480686695,2,6,NA
