series_name,Episode,UserRating,UserVotes,series_ep,link,r1,r10,r2,r3,r4,r5,r6,r7,r8,r9,season,season_ep,NA.
24 Horas,12:00 a.m.-1:00 a.m.,8.6,"1,926",1,/title/tt0502161/,0.009345794392523364,0.29813084112149535,0.003738317757009346,0.002803738317757009,0.005607476635514018,0.010280373831775701,0.03364485981308411,0.10654205607476636,0.2523364485981308,0.2775700934579439,1,1,NA
24 Horas,1:00 a.m.-2:00 a.m.,8.5,"1,351",2,/title/tt0502162/,0.01662049861495845,0.4228993536472761,0.007386888273314866,0.00554016620498615,0.002770083102493075,0.009233610341643583,0.034164358264081256,0.05909510618651893,0.15604801477377656,0.28624192059095105,1,2,NA
24 Horas,2:00 a.m.-3:00 a.m.,8.4,"1,259",3,/title/tt0502163/,0.009328358208955223,0.34328358208955223,0.002798507462686567,0.002798507462686567,0.0037313432835820895,0.010261194029850746,0.03264925373134328,0.08768656716417911,0.19402985074626866,0.31343283582089554,1,3,NA
24 Horas,3:00 a.m.-4:00 a.m.,8.4,"1,176",4,/title/tt0502164/,0.021400778210116732,0.642023346303502,0.0038910505836575876,0.00324254215304799,0.0038910505836575876,0.007133592736705577,0.013618677042801557,0.04085603112840467,0.08949416342412451,0.17444876783398183,1,4,NA
24 Horas,4:00 a.m.-5:00 a.m.,8.4,"1,126",5,/title/tt0502165/,0.01142263759086189,0.328141225337487,0.004153686396677051,0.004153686396677051,0.006230529595015576,0.011941848390446522,0.03946002076843198,0.1142263759086189,0.24766355140186916,0.23260643821391486,1,5,NA
24 Horas,5:00 a.m.-6:00 a.m.,8.7,"1,138",6,/title/tt0502166/,0.010476190476190476,0.3076190476190476,0.0019047619047619048,0.005714285714285714,0.005714285714285714,0.012380952380952381,0.04476190476190476,0.09714285714285714,0.24666666666666667,0.26761904761904765,1,6,NA
24 Horas,6:00 a.m.-7:00 a.m.,8.7,"1,131",7,/title/tt0502167/,0.008882309400444115,0.2546262028127313,0.0029607698001480384,0.005921539600296077,0.0022205773501110288,0.014063656550703183,0.03923019985196151,0.12435233160621761,0.2908956328645448,0.25684678016284235,1,7,NA
24 Horas,7:00 a.m.-8:00 a.m.,8.8,"1,106",8,/title/tt0502168/,0.010763209393346379,0.23679060665362034,0.0019569471624266144,0.0019569471624266144,0.003913894324853229,0.016634050880626222,0.0547945205479452,0.15557729941291584,0.34442270058708413,0.17318982387475537,1,8,NA
24 Horas,8:00 a.m.-9:00 a.m.,8.5,"1,083",9,/title/tt0502169/,0.010317460317460317,0.2515873015873016,0.0015873015873015873,0.004761904761904762,0.003968253968253968,0.015873015873015872,0.04285714285714286,0.1380952380952381,0.31507936507936507,0.21587301587301588,1,9,NA
24 Horas,9:00 a.m.-10:00 a.m.,8.4,"1,058",10,/title/tt0502170/,0.009737098344693282,0.25316455696202533,0.0019474196689386564,0.0029211295034079843,0.0038948393378773127,0.019474196689386564,0.04868549172346641,0.16358325219084713,0.305744888023369,0.19084712755598832,1,10,NA
24 Horas,10:00 a.m.-11:00 a.m.,8.7,"1,070",11,/title/tt0502171/,0.01020408163265306,0.2508503401360544,0.002551020408163265,0.0017006802721088435,0.01020408163265306,0.011904761904761904,0.05102040816326531,0.13690476190476192,0.3112244897959184,0.21343537414965985,1,11,NA
