series_name,Episode,UserRating,UserVotes,series_ep,link,r1,r10,r2,r3,r4,r5,r6,r7,r8,r9,season,season_ep,NA.
Bad Judge,Pilot,6.3,152,1,/title/tt3785486/,0.03289473684210526,0.1118421052631579,0.013157894736842105,0.039473684210526314,0.08552631578947369,0.09210526315789473,0.19736842105263158,0.24342105263157895,0.11842105263157894,0.06578947368421052,1,1,NA
Bad Judge,Meteor Shower,6.8,113,2,/title/tt3785490/,0.02654867256637168,0.18584070796460178,0.035398230088495575,0.02654867256637168,0.061946902654867256,0.04424778761061947,0.18584070796460178,0.18584070796460178,0.18584070796460178,0.061946902654867256,1,2,NA
Bad Judge,One Brave Waitress,6.8,83,3,/title/tt3785494/,0.060240963855421686,0.20481927710843373,0.024096385542168676,0.012048192771084338,0.03614457831325301,0.08433734939759036,0.1927710843373494,0.24096385542168675,0.07228915662650602,0.07228915662650602,1,3,NA
Bad Judge,Knife to a Gunfight,6.7,68,4,/title/tt3785498/,0.04411764705882353,0.11764705882352941,0.029411764705882353,0.014705882352941176,0.058823529411764705,0.058823529411764705,0.14705882352941177,0.3382352941176471,0.14705882352941177,0.04411764705882353,1,4,NA
Bad Judge,Judge and Jury,6.6,73,5,/title/tt3785500/,0.0410958904109589,0.0958904109589041,0.0273972602739726,0.0273972602739726,0.0410958904109589,0.0684931506849315,0.1643835616438356,0.3150684931506849,0.1643835616438356,0.0547945205479452,1,5,NA
Bad Judge,What Is Best in Life?,7.1,59,6,/title/tt3785502/,0.03389830508474576,0.13559322033898305,0,0.01694915254237288,0.01694915254237288,0.0847457627118644,0.1864406779661017,0.2542372881355932,0.1864406779661017,0.0847457627118644,1,6,NA
Bad Judge,Communication Breakdown,6.9,55,7,/title/tt4086894/,0.03636363636363636,0.14545454545454545,0,0.01818181818181818,0.01818181818181818,0.07272727272727272,0.23636363636363636,0.2909090909090909,0.12727272727272726,0.05454545454545454,1,7,NA
Bad Judge,The Cat's Out of the Bag,6.5,51,8,/title/tt4117798/,0.0625,0.125,0,0.020833333333333332,0.020833333333333332,0.10416666666666667,0.1875,0.2708333333333333,0.125,0.08333333333333333,1,8,NA
Bad Judge,Face Mask Mom,6.8,48,9,/title/tt4120042/,0.0392156862745098,0.11764705882352941,0.0196078431372549,0.0196078431372549,0.09803921568627451,0.0784313725490196,0.19607843137254902,0.2549019607843137,0.13725490196078433,0.0392156862745098,1,9,NA
Bad Judge,The Fixer,6.5,43,10,/title/tt4132764/,0.06976744186046512,0.11627906976744186,0,0.046511627906976744,0.046511627906976744,0.11627906976744186,0.16279069767441862,0.20930232558139536,0.20930232558139536,0.023255813953488372,1,10,NA
Bad Judge,Naked and Afraid,7.3,47,11,/title/tt4322852/,0.02127659574468085,0.06382978723404255,0,0,0.02127659574468085,0.06382978723404255,0.14893617021276595,0.23404255319148937,0.2765957446808511,0.1702127659574468,1,11,NA
Bad Judge,Lockdown,7.3,40,12,/title/tt4322862/,0.025,0.1,0,0,0.025,0.025,0.175,0.325,0.225,0.1,1,12,NA
Bad Judge,Case Closed,7.5,44,13,/title/tt4338388/,0.022727272727272728,0.18181818181818182,0,0,0,0.09090909090909091,0.09090909090909091,0.3181818181818182,0.22727272727272727,0.06818181818181818,1,13,NA
Boss,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Magic City,Starz Studios Presents Magic City,7.1,27,1,/title/tt1960549/,0.01171875,0.17578125,0.01953125,0,0.01953125,0.04296875,0.08984375,0.23046875,0.31640625,0.09375,1,1,NA
Magic City,The Year of the Fin,7.6,256,2,/title/tt1960550/,0.017094017094017096,0.2564102564102564,0,0,0,0.03418803418803419,0.06837606837606838,0.23076923076923078,0.28205128205128205,0.1111111111111111,1,2,NA
Magic City,Feeding Frenzy,7.3,196,3,/title/tt1960551/,0.02040816326530612,0.15816326530612246,0.015306122448979591,0.02040816326530612,0.00510204081632653,0.04591836734693878,0.11734693877551021,0.3112244897959184,0.23469387755102042,0.07142857142857142,1,3,NA
Magic City,Castles Made of Sand,7.3,169,4,/title/tt1960552/,0.023668639053254437,0.20118343195266272,0.011834319526627219,0.011834319526627219,0.011834319526627219,0.05917159763313609,0.1242603550295858,0.30177514792899407,0.1952662721893491,0.05917159763313609,1,4,NA
Magic City,Atonement,7.4,160,5,/title/tt1960553/,0.025,0.18125,0.0125,0.00625,0,0.05,0.11875,0.26875,0.25625,0.08125,1,5,NA
Magic City,Suicide Blonde,7.7,161,6,/title/tt1960554/,0.018633540372670808,0.19875776397515527,0.018633540372670808,0.006211180124223602,0,0.043478260869565216,0.09937888198757763,0.19254658385093168,0.2857142857142857,0.13664596273291926,1,6,NA
Magic City,The Harder They Fall,7.5,149,7,/title/tt1960555/,0.006711409395973154,0.19463087248322147,0.013422818791946308,0,0.013422818791946308,0.03355704697986577,0.12080536912751678,0.2550335570469799,0.2348993288590604,0.12751677852348994,1,7,NA
Magic City,Who's the Horse and Who's the Rider?,7.7,155,8,/title/tt1960556/,0.0064516129032258064,0.21935483870967742,0.0064516129032258064,0.0064516129032258064,0,0.03225806451612903,0.07741935483870968,0.25161290322580643,0.3032258064516129,0.0967741935483871,1,8,NA
Magic City,Time and Tide,7.9,160,9,/title/tt1960557/,0.00625,0.2625,0.00625,0,0,0.0375,0.1,0.1875,0.23125,0.16875,1,9,NA
