series_name,Episode,UserRating,UserVotes,series_ep,link,r1,r10,r2,r3,r4,r5,r6,r7,r8,r9,season,season_ep,NA.,r10.0,r7.4,r7.8,r8.8,rNA
Partners,The Curious Case of Benjamin Butt-Ugly,8.2,33,7,/title/tt3564368/,0,0.375,0.041666666666666664,0,0,0.041666666666666664,0.20833333333333334,0.125,0.125,0.08333333333333333,1,7,NA,NA,NA,NA,NA,NA
Partners,The Law School Reunion,7.6,26,8,/title/tt3638252/,0.02857142857142857,0.2857142857142857,0.02857142857142857,0,0.05714285714285714,0.08571428571428572,0.08571428571428572,0.14285714285714285,0.08571428571428572,0.2,1,8,NA,NA,NA,NA,NA,NA
Partners,Doug Day Afternoon,7.9,24,9,/title/tt3640238/,0.046153846153846156,0.16923076923076924,0.046153846153846156,0.06153846153846154,0.06153846153846154,0.06153846153846154,0.16923076923076924,0.13846153846153847,0.09230769230769231,0.15384615384615385,1,9,NA,NA,NA,NA,NA,NA
Partners,How to Get a Head in Advertising,8.5,25,10,/title/tt3856388/,0.061224489795918366,0.24489795918367346,0.061224489795918366,0,0.061224489795918366,0.08163265306122448,0.061224489795918366,0.20408163265306123,0.10204081632653061,0.12244897959183673,1,10,NA,NA,NA,NA,NA,NA
The River,Magus,7.1,430,1,/title/tt2008374/,0.03255813953488372,0.2186046511627907,0.020930232558139535,0.03488372093023256,0.030232558139534883,0.046511627906976744,0.14883720930232558,0.2069767441860465,0.17906976744186046,0.08139534883720931,1,1,NA,NA,NA,NA,NA,NA
The River,Marbeley,7.3,346,2,/title/tt2055478/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA
The River,Los Ciegos,7.4,272,3,/title/tt2056424/,0.017341040462427744,0.21676300578034682,0.014450867052023121,0.02601156069364162,0.03757225433526012,0.03757225433526012,0.12716763005780346,0.23121387283236994,0.19653179190751446,0.0953757225433526,1,3,NA,NA,NA,NA,NA,NA
The River,A Better Man,7.4,227,4,/title/tt2063512/,0.011029411764705883,0.23161764705882354,0.011029411764705883,0.022058823529411766,0.03308823529411765,0.051470588235294115,0.10661764705882353,0.2647058823529412,0.16911764705882354,0.09926470588235294,1,4,NA,NA,NA,NA,NA,NA
The River,Peaches,7.9,223,5,/title/tt2128310/,0.014354066985645933,0.2727272727272727,0,0.009569377990430622,0.009569377990430622,0.028708133971291867,0.0861244019138756,0.15311004784688995,0.291866028708134,0.1339712918660287,1,5,NA,NA,NA,NA,NA,NA
The River,Doctor Emmet Cole,8,209,6,/title/tt2128311/,0.004484304932735426,0.242152466367713,0,0.008968609865470852,0.013452914798206279,0.04035874439461883,0.06726457399103139,0.21524663677130046,0.30493273542600896,0.1031390134529148,1,6,NA,NA,NA,NA,NA,NA
The River,The Experiment,8,233,7,/title/tt2128312/,0.02145922746781116,0.30042918454935624,0.004291845493562232,0.004291845493562232,0.012875536480686695,0.02145922746781116,0.07296137339055794,0.14163090128755365,0.2703862660944206,0.15021459227467812,1,7,NA,NA,NA,NA,NA,NA
The River,"Row, Row, Row Your Boat",7.9,235,8,/title/tt2209823/,0.01276595744680851,0.28085106382978725,0.00851063829787234,0.02553191489361702,0.01702127659574468,0.03404255319148936,0.09787234042553192,0.15319148936170213,0.24680851063829787,0.12340425531914893,1,8,NA,NA,NA,NA,NA,NA
What Remains,Episode #1.1,7.5,68,1,/title/tt2690696/,0,0.07352941176470588,0.014705882352941176,0,0,0.029411764705882353,0.11764705882352941,0.29411764705882354,0.38235294117647056,0.08823529411764706,1,1,NA,NA,NA,NA,NA,NA
What Remains,Episode #1.2,7.3,57,2,/title/tt2690698/,0.017543859649122806,0.05263157894736842,0.017543859649122806,0,0.017543859649122806,0.017543859649122806,0.08771929824561403,0.3508771929824561,0.3684210526315789,0.07017543859649122,1,2,NA,NA,NA,NA,NA,NA
What Remains,Episode #1.3,7.3,53,3,/title/tt2690702/,0.018867924528301886,0.07547169811320754,0.018867924528301886,0,0.018867924528301886,0.05660377358490566,0.09433962264150944,0.2641509433962264,0.39622641509433965,0.05660377358490566,1,3,NA,NA,NA,NA,NA,NA
What Remains,Episode #1.4,7.6,51,4,/title/tt2690710/,0,0.1568627450980392,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.058823529411764705,0.11764705882352941,0.13725490196078433,0.29411764705882354,0.17647058823529413,1,4,NA,NA,NA,NA,NA,NA
