series_name,Episode,UserRating,UserVotes,series_ep,link,r1,r10,r2,r3,r4,r5,r6,r7,r8,r9,season,season_ep
Angel From Hell,Pilot,7.3,155,1,/title/tt5021284/,0.05102040816326531,0.15306122448979592,0,0.01020408163265306,0.02040816326530612,0.04081632653061224,0.15306122448979592,0.24489795918367346,0.21428571428571427,0.11224489795918367,1,1
Angel From Hell,Face Your Fears,7.4,104,2,/title/tt5140810/,0.08333333333333333,0.08333333333333333,0,0,0,0.0625,0.20833333333333334,0.3541666666666667,0.14583333333333334,0.0625,1,2
Angel From Hell,Go With Your Gut,7.3,98,3,/title/tt5155314/,0.04516129032258064,0.17419354838709677,0.01935483870967742,0.012903225806451613,0.0064516129032258064,0.05806451612903226,0.0967741935483871,0.22580645161290322,0.23225806451612904,0.12903225806451613,1,3
Angel From Hell,Family Business,7.2,86,4,/title/tt5155318/,0.057692307692307696,0.17307692307692307,0.019230769230769232,0,0.009615384615384616,0.04807692307692308,0.10576923076923077,0.28846153846153844,0.21153846153846154,0.08653846153846154,1,4
Angel From Hell,Soulmates,7.1,80,5,/title/tt5163254/,0.02702702702702703,0.08108108108108109,0,0,0,0.05405405405405406,0.2702702702702703,0.3783783783783784,0.13513513513513514,0.05405405405405406,1,5
Angel From Hell,Angel Probation,6.7,48,6,/title/tt5173564/,0.023809523809523808,0.09523809523809523,0,0,0,0.07142857142857142,0.19047619047619047,0.42857142857142855,0.14285714285714285,0.047619047619047616,1,6
Angel From Hell,Angel Appreciation Day,6.9,37,7,/title/tt5187228/,0.02631578947368421,0.13157894736842105,0,0,0.02631578947368421,0.07894736842105263,0.13157894736842105,0.34210526315789475,0.15789473684210525,0.10526315789473684,1,7
Angel From Hell,Practice Guy,7,42,8,/title/tt5194878/,0.0625,0.1625,0,0.0125,0.0125,0.075,0.125,0.2875,0.175,0.0875,1,8
Angel From Hell,Funsgiving,7.2,38,9,/title/tt5210820/,0,0.05714285714285714,0,0,0,0.08571428571428572,0.14285714285714285,0.42857142857142855,0.17142857142857143,0.11428571428571428,1,9
Angel From Hell,Rain Check,7.3,35,10,/title/tt5213824/,0.05813953488372093,0.16279069767441862,0.011627906976744186,0,0.011627906976744186,0.08139534883720931,0.12790697674418605,0.18604651162790697,0.2441860465116279,0.11627906976744186,1,10
Angel From Hell,The Flask,7.2,36,11,/title/tt5285558/,0,0.1111111111111111,0,0,0,0.08333333333333333,0.16666666666666666,0.3055555555555556,0.2222222222222222,0.1111111111111111,1,11
Angel From Hell,"Believe Me, Part 1",7.4,36,12,/title/tt5420174/,0.029411764705882353,0.11764705882352941,0.029411764705882353,0,0,0.08823529411764706,0.08823529411764706,0.23529411764705882,0.29411764705882354,0.11764705882352941,1,12
