series_name,Episode,UserRating,UserVotes,series_ep,link,r1,r10,r2,r3,r4,r5,r6,r7,r8,r9,season,season_ep,NA.
Billions,Pilot,8.2,"1,161",1,/title/tt4608554/,0.02239448751076658,0.2368647717484927,0.002583979328165375,0.0017226528854435831,0.0034453057708871662,0.015503875968992248,0.03875968992248062,0.11369509043927649,0.3040482342807924,0.26098191214470284,1,1,NA
Billions,Naming Rights,8,755,2,/title/tt4608560/,0.005192107995846314,0.608515057113188,0.0020768431983385254,0.0020768431983385254,0.0020768431983385254,0.006230529595015576,0.010384215991692628,0.028037383177570093,0.08515057113187954,0.2502596053997923,1,2,NA
Billions,YumTime,7.8,702,3,/title/tt4674946/,0.026490066225165563,0.19337748344370861,0.005298013245033113,0.0013245033112582781,0.005298013245033113,0.007947019867549669,0.04768211920529802,0.16026490066225166,0.3337748344370861,0.2185430463576159,1,3,NA
Billions,Short Squeeze,8.4,700,4,/title/tt4700648/,0.03133903133903134,0.1794871794871795,0.007122507122507123,0.005698005698005698,0.008547008547008548,0.019943019943019943,0.06125356125356125,0.19658119658119658,0.34615384615384615,0.14387464387464388,1,4,NA
Billions,The Good Life,8.2,611,5,/title/tt4704400/,0.027142857142857142,0.27,0.002857142857142857,0,0.004285714285714286,0.007142857142857143,0.027142857142857142,0.11428571428571428,0.29,0.2571428571428571,1,5,NA
Billions,The Deal,8.8,677,6,/title/tt4772192/,0.024509803921568627,0.20588235294117646,0.0016339869281045752,0,0.0016339869281045752,0.014705882352941176,0.03431372549019608,0.12581699346405228,0.36764705882352944,0.2238562091503268,1,6,NA
Billions,The Punch,8,517,7,/title/tt4776696/,0.014771048744460856,0.3870014771048744,0.0014771048744460858,0.0014771048744460858,0,0.005908419497784343,0.014771048744460856,0.050221565731166914,0.20827178729689808,0.31610044313146235,1,7,NA
Billions,Boasts and Rails,8.4,495,8,/title/tt4776698/,0.015473887814313346,0.172147001934236,0.0038684719535783366,0.0038684719535783366,0.005802707930367505,0.009671179883945842,0.059961315280464215,0.1644100580270793,0.40618955512572535,0.15860735009671179,1,8,NA
Billions,Where the F*ck Is Donnie?,8.2,479,9,/title/tt4776710/,0.010101010101010102,0.22424242424242424,0.00404040404040404,0.00202020202020202,0.00202020202020202,0.012121212121212121,0.024242424242424242,0.10303030303030303,0.34949494949494947,0.2686868686868687,1,9,NA
Billions,Quality of Life,8.8,612,10,/title/tt4790002/,0.0041753653444676405,0.18997912317327767,0.0041753653444676405,0.0041753653444676405,0.006263048016701462,0.008350730688935281,0.04384133611691023,0.13569937369519833,0.3966597077244259,0.20668058455114824,1,10,NA
Billions,Magical Thinking,8.1,513,11,/title/tt4790766/,0.0065252854812398045,0.3735725938009788,0.0032626427406199023,0.0032626427406199023,0.0032626427406199023,0.0065252854812398045,0.01794453507340946,0.0636215334420881,0.17128874388254486,0.35073409461663946,1,11,NA
Billions,The Conversation,9.3,962,12,/title/tt4790768/,0.015503875968992248,0.21705426356589147,0.005813953488372093,0.009689922480620155,0.003875968992248062,0.02131782945736434,0.05426356589147287,0.12596899224806202,0.32945736434108525,0.21705426356589147,1,12,NA
Billions,Risk Management,8.4,387,13,/title/tt5376026/,0.002570694087403599,0.22879177377892032,0.002570694087403599,0.002570694087403599,0.002570694087403599,0.012853470437017995,0.043701799485861184,0.08483290488431877,0.3110539845758355,0.30848329048843187,2,1,NA
Billions,Dead Cat Bounce,8.2,332,14,/title/tt5691466/,0,0.5628517823639775,0.005628517823639775,0,0,0.001876172607879925,0.009380863039399626,0.02626641651031895,0.0825515947467167,0.31144465290806755,2,2,NA
Billions,Optimal Play,8.5,335,15,/title/tt5829294/,0.008955223880597015,0.208955223880597,0.0029850746268656717,0,0.0029850746268656717,0.011940298507462687,0.03880597014925373,0.14328358208955225,0.34328358208955223,0.23880597014925373,2,3,NA
Billions,The Oath,8.4,324,16,/title/tt5946238/,0.0029585798816568047,0.23372781065088757,0.005917159763313609,0,0.014792899408284023,0.023668639053254437,0.026627218934911243,0.10059171597633136,0.2781065088757396,0.3136094674556213,2,4,NA
Billions,Currency,8.7,347,17,/title/tt5960350/,0.0036231884057971015,0.8586956521739131,0.0014492753623188406,7.246376811594203e-4,0.0014492753623188406,7.246376811594203e-4,0.002898550724637681,0.005797101449275362,0.021739130434782608,0.10289855072463767,2,5,NA
Billions,Indian Four,8.6,299,18,/title/tt5989406/,0,0.34097421203438394,0.0028653295128939827,0.0028653295128939827,0.0057306590257879654,0.0028653295128939827,0.02865329512893983,0.06303724928366762,0.22349570200573066,0.32951289398280803,2,6,NA
Billions,Victory Lap,8.1,257,19,/title/tt6059518/,0,0.25609756097560976,0.003048780487804878,0.003048780487804878,0.003048780487804878,0.024390243902439025,0.027439024390243903,0.10060975609756098,0.3353658536585366,0.24695121951219512,2,7,NA
Billions,The Kingmaker,8.8,353,20,/title/tt6062920/,0,0.2084942084942085,0.003861003861003861,0.007722007722007722,0.007722007722007722,0.023166023166023165,0.06177606177606178,0.14671814671814673,0.35135135135135137,0.1891891891891892,2,8,NA
Billions,Sic Transit Imperium,8.1,241,21,/title/tt6092996/,0,0.31666666666666665,0.0033333333333333335,0,0,0.013333333333333334,0.03666666666666667,0.08666666666666667,0.22333333333333333,0.32,2,9,NA
Billions,With or Without You,8.6,302,22,/title/tt6093000/,0,0.36056338028169016,0.0028169014084507044,0.0028169014084507044,0.005633802816901409,0.0028169014084507044,0.02535211267605634,0.07042253521126761,0.18873239436619718,0.3408450704225352,2,10,NA
Billions,Golden Frog Time,9.8,"1,377",23,/title/tt6093004/,0,0.19008264462809918,0,0.004132231404958678,0.004132231404958678,0.02066115702479339,0.04132231404958678,0.19008264462809918,0.34297520661157027,0.2066115702479339,2,11,NA
Billions,Ball in Hand,9.3,528,24,/title/tt6093006/,0,0.2739273927392739,0.0033003300330033004,0,0.0033003300330033004,0.006600660066006601,0.0429042904290429,0.07590759075907591,0.2079207920792079,0.38613861386138615,2,12,NA
Bleach,Shinigami ni nacchatta hi,7.9,201,1,/title/tt0825773/,0.013888888888888888,0.375,0,0,0,0,0.041666666666666664,0.09722222222222222,0.2222222222222222,0.25,1,1,NA
Bleach,Shinigami no oshigoto,7.9,152,2,/title/tt0856364/,0.03260869565217391,0.29347826086956524,0,0.010869565217391304,0.010869565217391304,0.010869565217391304,0.05434782608695652,0.14130434782608695,0.32608695652173914,0.11956521739130435,1,2,NA
Bleach,Ani no omoi imouto no omoi,7.8,132,3,/title/tt0856365/,0.02631578947368421,0.2565789473684211,0.006578947368421052,0.006578947368421052,0.013157894736842105,0.03289473684210526,0.05921052631578947,0.23684210526315788,0.3026315789473684,0.05921052631578947,1,3,NA
Bleach,Noroi no inko,8.1,124,4,/title/tt0856366/,0.04,0.28,0,0.02,0.08,0.04,0.1,0.28,0.14,0.02,1,4,NA
Bleach,Mienai teki o nagure!,8,119,5,/title/tt0856367/,0.014705882352941176,0.47058823529411764,0,0,0,0.014705882352941176,0.029411764705882353,0.08823529411764706,0.14705882352941177,0.23529411764705882,1,5,NA
Bleach,Shitou! Ichigo vs Ichigo,8.1,112,6,/title/tt0856369/,0.02040816326530612,0.2653061224489796,0.02040816326530612,0.04081632653061224,0,0.08163265306122448,0.20408163265306123,0.24489795918367346,0.08163265306122448,0.04081632653061224,1,6,NA
Bleach,Nuigurumi kara konnichiwa,8,104,7,/title/tt0856370/,0.012195121951219513,0.36585365853658536,0.012195121951219513,0,0,0.036585365853658534,0.04878048780487805,0.14634146341463414,0.25609756097560976,0.12195121951219512,1,7,NA
Bleach,"6-gatsu 17 nichi, ame no kioku",8,103,8,/title/tt0856371/,0.058823529411764705,0.27450980392156865,0,0.0196078431372549,0.0392156862745098,0.0784313725490196,0.13725490196078433,0.23529411764705882,0.13725490196078433,0.0196078431372549,1,8,NA
Bleach,Taosenai teki,8.2,103,9,/title/tt0856372/,0.010869565217391304,0.22826086956521738,0,0.010869565217391304,0.021739130434782608,0.03260869565217391,0.10869565217391304,0.22826086956521738,0.30434782608695654,0.05434782608695652,1,9,NA
Bleach,Burari reiba totsugeki no tabi!,7.8,92,10,/title/tt0856373/,0.012345679012345678,0.2839506172839506,0.012345679012345678,0,0,0.037037037037037035,0.06172839506172839,0.2962962962962963,0.2345679012345679,0.06172839506172839,1,10,NA
Bleach,Densetsu no kuinshî,8.1,93,11,/title/tt0856374/,0.014285714285714285,0.2857142857142857,0,0,0,0.014285714285714285,0.12857142857142856,0.22857142857142856,0.2571428571428571,0.07142857142857142,1,11,NA
Bleach,Yasashii migiude,8.1,92,12,/title/tt0856375/,0.018518518518518517,0.2962962962962963,0,0.018518518518518517,0.018518518518518517,0.037037037037037035,0.09259259259259259,0.2037037037037037,0.25925925925925924,0.05555555555555555,1,12,NA
