series_name,Episode,UserRating,UserVotes,series_ep,link,r1,r10,r2,r3,r4,r5,r6,r7,r8,r9,season,season_ep
Black Mirror,The National Anthem,8.1,"15,192",1,/title/tt2089049/,0.00830367734282325,0.2380387504942665,0.004876762883880322,0.006392513509951232,0.01173059180176618,0.021615921971793857,0.05634638196915777,0.14188743904046394,0.256425464610518,0.25438249637537896,1,1
Black Mirror,Fifteen Million Merits,8.3,"15,158",2,/title/tt2089050/,0.0029526883197143446,0.29437615875849754,0.0017166792556478746,0.0023346837876811097,0.0037766943624253243,0.0096134038316281,0.029389548856691615,0.09400535603927762,0.22364897342580511,0.3381858133626313,1,2
Black Mirror,The Entire History of You,8.7,"14,548",3,/title/tt2089051/,0.018282257003814285,0.15368933315796396,0.007102459555438642,0.00966723661712482,0.01144285150598448,0.024003682756806522,0.05668814941470472,0.16598711035117716,0.32454294357490465,0.22859397606208076,1,3
Black Mirror,Be Right Back,8.2,"11,943",4,/title/tt2290780/,0.002928380187416332,0.169929718875502,0.0011713520749665328,0.002677376171352075,0.0048527443105756355,0.014390896921017403,0.047607095046854085,0.1638219544846051,0.3296519410977242,0.2629685408299866,2,1
Black Mirror,White Bear,8.2,"11,636",5,/title/tt2386296/,0.014250771030522174,0.058598319685206846,0.00808252685313198,0.014995214293310646,0.027438051685632243,0.07104115707752845,0.1877060512602361,0.3245772625757737,0.218015526959481,0.07529511857917685,2,2
Black Mirror,The Waldo Moment,7,"9,392",6,/title/tt2542420/,0.008070747832059758,0.2259809392976732,0.004808105091439856,0.0071262986176697865,0.008500042929509745,0.022924358203829313,0.05907100540911823,0.1528290546921954,0.2587790847428522,0.25191036318365245,2,3
Black Mirror,White Christmas,9.1,"14,374",7,/title/tt3973198/,0.002363408869734464,0.4840122341165022,6.951202558042541e-4,0.0011121924092868066,0.002363408869734464,0.004379257611566801,0.013068260809119978,0.04420964826915056,0.1347838176004449,0.3130126511886556,2,4
Black Mirror,Nosedive,8.3,"14,467",8,/title/tt4538072/,0.01513938908896892,0.4485794317727091,0.004668534080298786,0.0058690142723756165,0.007202881152460984,0.01593970921702014,0.03614779245031346,0.07876483926904095,0.13905562224889956,0.2486327864479125,3,1
Black Mirror,Playtest,8.2,"12,024",9,/title/tt5497778/,0.00870105655686762,0.21283060562115877,0.0045576962916925624,0.007319936468475934,0.008010496512671777,0.02223603342310614,0.049720323182100686,0.13182791243698638,0.2682135211656654,0.2865824183412748,3,2
Black Mirror,Shut Up and Dance,8.5,"11,730",10,/title/tt5709230/,0.00860379930147372,0.2752363915154613,0.003492631399608144,0.004600051111679018,0.008177868642984922,0.016696481812760882,0.04191157679529772,0.10997529602180765,0.22949143879376438,0.30181446460516226,3,3
Black Mirror,San Junipero,8.8,"14,975",11,/title/tt5709234/,0.00619608796015065,0.1506499817762119,0.003037298019681691,0.00571012027700158,0.011663224395577694,0.026971206414773418,0.07896974851172398,0.2050783622889078,0.3054306888591909,0.20629328149678047,3,4
