series_name,Episode,UserRating,UserVotes,series_ep,link,r1,r10,r2,r3,r4,r5,r6,r7,r8,r9,season,season_ep,NA.
Big School,Episode #1.1,6.8,50,1,/title/tt3103790/,0,0.1388888888888889,0,0.05555555555555555,0.027777777777777776,0.027777777777777776,0.2222222222222222,0.19444444444444445,0.25,0.08333333333333333,1,1,NA
Big School,Episode #1.2,7,38,2,/title/tt3106024/,0,0.08,0,0.06,0.06,0.04,0.34,0.16,0.14,0.12,1,2,NA
Big School,Episode #1.3,7.1,32,3,/title/tt3122640/,0,0.15789473684210525,0.02631578947368421,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.13157894736842105,0.2894736842105263,0.21052631578947367,0.02631578947368421,1,3,NA
Big School,Episode #1.4,7.1,36,4,/title/tt3141036/,0,0.1875,0,0.09375,0,0.03125,0.21875,0.3125,0.15625,0,1,4,NA
Big School,Episode #1.5,7.1,35,5,/title/tt3146340/,0,0.25,0,0.05555555555555555,0,0.1388888888888889,0.2777777777777778,0.16666666666666666,0.1111111111111111,0,1,5,NA
Big School,Episode #1.6,7.2,36,6,/title/tt3164090/,0,0.11428571428571428,0,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.17142857142857143,0.34285714285714286,0.17142857142857143,0.08571428571428572,1,6,NA
Big School,Episode #2.1,7.6,29,7,/title/tt3969144/,0,0.20689655172413793,0,0,0,0.10344827586206896,0.1724137931034483,0.27586206896551724,0.1724137931034483,0.06896551724137931,2,1,NA
Big School,Episode #2.2,7.6,26,8,/title/tt3983044/,0,0.19230769230769232,0,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.11538461538461539,0.19230769230769232,0.2692307692307692,0.11538461538461539,2,2,NA
Big School,Episode #2.3,7.5,27,9,/title/tt4005326/,0,0.18518518518518517,0,0,0.07407407407407407,0.037037037037037035,0.18518518518518517,0.14814814814814814,0.3333333333333333,0.037037037037037035,2,3,NA
Big School,Episode #2.4,8,27,10,/title/tt4024642/,0,0.18518518518518517,0,0,0.037037037037037035,0,0.14814814814814814,0.1111111111111111,0.2962962962962963,0.2222222222222222,2,4,NA
Big School,Episode #2.5,7.3,22,11,/title/tt4061472/,0,0.18181818181818182,0,0.045454545454545456,0,0.09090909090909091,0.22727272727272727,0.13636363636363635,0.3181818181818182,0,2,5,NA
Big School,Episode #2.6,7.7,27,12,/title/tt4075224/,0,0.25925925925925924,0,0.07407407407407407,0.037037037037037035,0,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.07407407407407407,2,6,NA
