series_name,Episode,UserRating,UserVotes,series_ep,link,r1,r10,r2,r3,r4,r5,r6,r7,r8,r9,season,season_ep,NA.
Battle Creek,The Battle Creek Way,8.1,425,1,/title/tt3546706/,0.02112676056338028,0.32629107981220656,0.009389671361502348,0.009389671361502348,0.01643192488262911,0.03755868544600939,0.07511737089201878,0.13615023474178403,0.24413145539906103,0.12441314553990611,1,1,NA
Battle Creek,Syruptitious,8.2,306,2,/title/tt3887608/,0.013071895424836602,0.32679738562091504,0.00980392156862745,0.013071895424836602,0.013071895424836602,0.029411764705882353,0.06209150326797386,0.18627450980392157,0.23529411764705882,0.1111111111111111,1,2,NA
Battle Creek,Man's Best Friend,8.5,267,3,/title/tt3898078/,0.008583690987124463,0.3948497854077253,0.004291845493562232,0.004291845493562232,0.004291845493562232,0.017167381974248927,0.07296137339055794,0.0815450643776824,0.23605150214592274,0.1759656652360515,1,3,NA
Battle Creek,Heirlooms,8.6,233,4,/title/tt3949646/,0.00749063670411985,0.36329588014981273,0.00749063670411985,0.011235955056179775,0.00749063670411985,0.018726591760299626,0.0599250936329588,0.12359550561797752,0.2397003745318352,0.16104868913857678,1,4,NA
Battle Creek,Old Flames,8.6,222,5,/title/tt3980766/,0.0045045045045045045,0.40540540540540543,0.009009009009009009,0,0.0045045045045045045,0.02702702702702703,0.05405405405405406,0.09009009009009009,0.2072072072072072,0.1981981981981982,1,5,NA
Battle Creek,Cereal Killer,7.8,213,6,/title/tt4026328/,0.009389671361502348,0.16901408450704225,0.009389671361502348,0.009389671361502348,0.004694835680751174,0.046948356807511735,0.051643192488262914,0.17370892018779344,0.4131455399061033,0.11267605633802817,1,6,NA
Battle Creek,Mama's Boy,8.9,231,7,/title/tt4041756/,0.004329004329004329,0.44155844155844154,0.004329004329004329,0,0.004329004329004329,0.021645021645021644,0.03463203463203463,0.06926406926406926,0.20346320346320346,0.21645021645021645,1,7,NA
Battle Creek,Old Wounds,8.8,196,8,/title/tt4106784/,0.0048543689320388345,0.5048543689320388,0.009708737864077669,0.0048543689320388345,0.0048543689320388345,0.014563106796116505,0.019417475728155338,0.06796116504854369,0.1553398058252427,0.21359223300970873,1,8,NA
Battle Creek,Gingerbread Man,8.8,176,9,/title/tt4111068/,0.005681818181818182,0.4147727272727273,0.005681818181818182,0,0.005681818181818182,0.017045454545454544,0.045454545454545456,0.09090909090909091,0.18181818181818182,0.23295454545454544,1,9,NA
Battle Creek,Stockholm,9,206,10,/title/tt4165196/,0.006097560975609756,0.4634146341463415,0.006097560975609756,0.006097560975609756,0.006097560975609756,0.012195121951219513,0.024390243902439025,0.04878048780487805,0.18292682926829268,0.24390243902439024,1,10,NA
Battle Creek,The Hand-Off,9,164,11,/title/tt4185832/,0.005681818181818182,0.4602272727272727,0.005681818181818182,0,0.005681818181818182,0.022727272727272728,0.03977272727272727,0.056818181818181816,0.16477272727272727,0.23863636363636365,1,11,NA
